euro,barre
1,132.1479
2,104.8445
3,314.0716
4,216.1153
5,441.7941
6,430.2527
7,602.9794
8,781.0991
9,924.0908
10,919.8547
11,987.3433
12,1069.022
13,912.3613
14,903.1651
15,921.4444
16,821.8634
17,787.7529
18,826.3528
19,790.6895
20,688.7018
21,562.4271
22,707.4537
23,535.9717
24,498.616
25,429.3244
26,375.0572
27,378.0515
28,350.9668
29,240.4096
30,217.1544
31,183.9144
32,247.1844
33,125.8429
34,154.0753
35,136.7261
36,82.62843
37,83.99636
38,86.17236
39,75.67237
40,107.4915
41,73.96308
42,34.21555
43,73.81017
44,64.74911
45,17.4572
46,46.14981
47,25.10548
48,24.11617
49,10.09198
50,34.54956
51,29.97507
52,37.10173
53,23.9263
54,14.38035
55,21.06722
56,19.93232
57,11.68918
58,20.53042
59,46.12902
60,16.77948
61,2.495707
62,3.652008
63,12.77142
64,4.262587
65,17.44914
66,7.233674
67,1.923761
68,12.16637
69,3.087521
70,1.241191
71,13.08218
72,4.080024
73,8.993268
74,3.532092
75,1.524837
76,7.800641
77,1.879955
78,11.63428
79,9.387417
