cutoff,perc
1714.286,1
2500,2
3334.783,3
4100,4
4516.129,5
4913.533,6
5354.242,7
5890.577,8
6374.711,9
6644.747,10
6933.333,11
7142.857,12
7384.172,13
7660.606,14
7979.229,15
8150,16
8352.986,17
8590.909,18
8857.143,19
9063.188,20
9292,21
9510.709,22
9710.321,23
9937.05,24
10100,25
10320,26
10565.98,27
10800,28
10933.33,29
11110,30
11326.67,31
11545.45,32
11682.28,33
11854.75,34
12049.81,35
12266.67,36
12531.46,37
12722.22,38
12909.35,39
13152.62,40
13374.58,41
13604.75,42
13806.62,43
14028.02,44
14215.01,45
14429.75,46
14689.87,47
14918.68,48
15195.17,49
15356.04,50
15635.43,51
15914.27,52
16155.61,53
16459.34,54
16762.27,55
16921.19,56
17082.25,57
17305.43,58
17595.94,59
17848.54,60
18135.69,61
18380.69,62
18592.86,63
18900,64
19161.37,65
19442.52,66
19793.56,67
20054.11,68
20414.49,69
20768.55,70
21101.18,71
21366.41,72
21621.75,73
21942.91,74
22279.12,75
22644.17,76
23048.92,77
23509.89,78
23854.79,79
24319.15,80
24739.73,81
25347.47,82
25736.5,83
26326.01,84
26827.44,85
27311.87,86
27990,87
28872.96,88
29781.8,89
30676.02,90
31553.66,91
32926.01,92
34184.7,93
36113.05,94
38581.52,95
40621.25,96
44434.04,97
51855.62,98
62169.17,99
64654.13,99.1
67836.05,99.2
70407.46,99.3
72702.35,99.4
78540.04,99.5
84086.41,99.6
87116.04,99.7
104970.4,99.8
130187.3,99.9
